OrderID,CustomerName,ProductCategory,Amount,OrderDate,DeliveryStatus,Discount,City,PaymentMode,CustomerSince
2824,Donald Walker,Books,783.04,2024-12-26,Returned,0.15,Lake Joyside,Credit Card,2020-10-15
7912,Brandon Hall,Groceries,905.0,2024-09-12,Cancelled,0.03,New Jamesside,Wallet,2022-03-15
4611,Donald Booth,Fashion,657.96,2025-01-12,Returned,0.01,Lake Roberto,Wallet,2021-08-07
3547,Phillip Garcia,Fashion,606.89,2024-03-24,Returned,0.15,West Melanieview,Wallet,2020-08-08
8527,Valerie Gray,Toys,77.87,2024-08-04,Delivered,0.17,Mariastad,Cash,2022-11-15
4150,Amber Perez,Books,352.37,2024-01-13,Cancelled,0.24,Port Jesseville,Cash,2022-01-13
5554,Roy Martin,Toys,148.33,2024-03-04,Cancelled,0.27,Lake Joseph,Cash,2023-04-29
2169,Carolyn Daniel,Electronics,14.09,2023-10-07,Delivered,0.25,Grayside,Credit Card,2021-05-09
6313,Patty Perez,Groceries,79.83,2023-06-27,Cancelled,0.12,Richardland,Credit Card,2021-04-25
6155,Jonathan Wilkerson,Fashion,882.68,2024-10-14,Cancelled,0.27,Thomasberg,Cash,2021-06-20
9830,Kevin Hurst,Books,870.55,2024-04-08,Delivered,0.22,Jeffreyberg,Wallet,2022-08-02
9085,Anthony Rodriguez,Groceries,921.73,2024-10-02,Cancelled,0.03,Port Erin,UPI,2022-12-15
2040,Kyle Mcdonald,Toys,327.52,2023-12-15,Returned,0.06,Lake Jenniferside,Wallet,2021-07-21
6573,Jeffrey Chavez,Books,676.02,2024-12-14,Cancelled,0.19,Teresaburgh,Wallet,2022-07-30
2743,Elizabeth Fowler,Electronics,47.06,2024-09-18,Delivered,0.13,East Nathaniel,Cash,2021-02-07
9837,Tammy Sellers,Books,46.15,2024-09-10,Cancelled,0.05,Tracyville,UPI,2021-12-17
6038,David Bradley,Fashion,348.51,2023-08-03,Returned,0.23,Lake Toddland,UPI,2022-09-07
3060,John Pierce,Toys,362.09,2023-12-25,Returned,0.03,Brandtside,Cash,2023-05-09
4295,Jennifer Powers,Electronics,684.26,2024-03-19,Cancelled,0.21,Lammouth,UPI,2020-12-06
5061,George Chapman,Electronics,251.89,2023-11-28,Pending,0.27,North Chad,Cash,2023-02-07
1964,Taylor Heath,Toys,578.5,2023-07-28,Cancelled,0.01,West Elizabeth,Cash,2021-04-30
9834,Timothy Duncan,Electronics,944.55,2024-06-04,Cancelled,0.07,Port Thomas,Wallet,2022-02-24
4119,Matthew Gomez,Books,326.67,2024-04-17,Returned,0.09,Shieldston,Cash,2023-04-14
2612,Nicholas Mcbride,Fashion,219.05,2023-08-26,Delivered,0.27,East James,UPI,2022-04-29
3296,Donald Wright,Fashion,579.99,2025-05-20,Cancelled,0.25,South Lindseyside,Wallet,2020-11-01
1828,Kimberly Smith,Toys,89.01,2023-08-14,Delivered,0.04,East Richard,Credit Card,2022-06-19
4502,Stephanie Martin,Electronics,656.32,2023-06-04,Pending,0.2,Bakermouth,Credit Card,2021-08-19
7930,Monica Logan,Books,130.5,2024-10-29,Cancelled,0.11,Mooreport,Cash,2021-05-06
1958,Kimberly Adkins,Electronics,98.66,2023-07-17,Cancelled,0.13,New Thomashaven,Wallet,2021-02-01
1931,Angela Lopez,Electronics,686.21,2024-09-07,Cancelled,0.17,Lake Michellefurt,UPI,2020-12-05
5033,Amanda Miller,Toys,552.76,2024-10-25,Pending,0.21,Sarahborough,Wallet,2023-04-08
6147,James Powers,Toys,561.91,2024-01-22,Cancelled,0.05,Stewartland,Credit Card,2020-06-16
8508,Kristine Garcia,Electronics,382.59,2024-07-24,Delivered,0.22,New Joseph,Wallet,2021-11-26
2127,Jaclyn Moore,Groceries,933.32,2025-03-11,Returned,0.01,Cherylhaven,Cash,2020-06-14
5905,Ashley Humphrey,Books,844.87,2023-12-25,Pending,0.28,North Juliaberg,Cash,2021-07-30
5616,Michelle Harris,Books,98.88,2024-10-07,Cancelled,0.21,Williamview,UPI,2020-08-19
2512,Sandra Williams,Toys,630.21,2024-02-17,Pending,0.08,Lake Tina,UPI,2021-02-08
8239,Jessica Smith,Books,610.08,2023-07-31,Delivered,0.09,New Barry,UPI,2021-12-27
3426,Andrew Diaz,Groceries,278.75,2025-05-27,Delivered,0.24,West Jasonbury,UPI,2023-04-04
2684,Justin Baxter,Books,837.46,2024-09-27,Cancelled,0.22,East Michelle,Credit Card,2021-03-04
7755,Norman Cook,Toys,903.74,2025-05-25,Cancelled,0.18,Phambury,Cash,2021-07-21
3608,Ashley Brennan,Electronics,368.54,2025-03-30,Cancelled,0.12,Walkermouth,UPI,2021-11-27
6000,Shelby Walker,Groceries,857.57,2024-10-27,Pending,0.16,South Mark,UPI,2020-09-17
5573,Jordan Frazier,Books,981.05,2025-03-19,Cancelled,0.02,Sheilaville,Cash,2021-07-12
3925,Victoria Johnson,Toys,12.37,2024-09-08,Cancelled,0.17,Reedmouth,Wallet,2022-04-10
9379,Steven Lee,Books,181.97,2023-07-07,Returned,0.22,Smithside,UPI,2023-05-04
4228,Benjamin Beck,Toys,290.34,2024-02-14,Delivered,0.12,Elizabethville,Cash,2021-09-11
9308,Jason Powell,Toys,360.68,2024-01-18,Cancelled,0.07,East Robert,Credit Card,2022-01-11
3851,Elizabeth Kelley,Fashion,517.15,2023-06-03,Cancelled,0.19,Justinchester,Credit Card,2022-11-19
